name,email,age,location
Alice Smith,alice@example.com,30,New York
Bob Johnson,bob@example.com,25,San Francisco
Charlie Lee,charlie@example.com,28,Los Angeles
Dana Cruz,dana@example.com,22,Chicago
Eli Navarro,eli@example.com,35,Houston
Faith Brooks,faithb@example.com,27,Boston
George Kim,georgek@example.com,31,Seattle
Hana Patel,hana.patel@example.com,29,Austin
Isaac Wong,isaac.wong@example.com,24,Denver
Jade Torres,jade.torres@example.com,26,Miami
Kyle Adams,kyle.adams@example.com,33,Atlanta
Lena Nguyen,lena.n@example.com,21,Portland
Mark Davis,mark.davis@example.com,38,Philadelphia
Nina Flores,nina.f@example.com,23,San Diego
Oscar Rivera,oscar.r@example.com,34,Phoenix
